GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
"1600000US0103076","Auburn city, Alabama","26156","2687","13095","1829","13061","2108"
"1600000US0107000","Birmingham city, Alabama","93300","3618","37788","2635","55512","2788"
"1600000US0121184","Dothan city, Alabama","27103","1044","15891","824","11212","817"
"1600000US0135896","Hoover city, Alabama","32461","1606","22391","1515","10070","1496"
"1600000US0137000","Huntsville city, Alabama","88930","2823","48728","2758","40202","2550"
"1600000US0150000","Mobile city, Alabama","77628","2367","40453","2577","37175","2968"
"1600000US0151000","Montgomery city, Alabama","78225","2045","42374","2274","35851","2739"
"1600000US0177256","Tuscaloosa city, Alabama","36779","2172","17107","1559","19672","1973"
"1600000US0203000","Anchorage municipality, Alaska","105198","2489","64218","2853","40980","2911"
"1600000US0404720","Avondale city, Arizona","25339","1647","14899","1479","10440","1579"
"1600000US0407940","Buckeye city, Arizona","21691","1691","18387","1605","3304","925"
"1600000US0410670","Casas Adobes CDP, Arizona","29337","2194","20023","1627","9314","1585"
"1600000US0412000","Chandler city, Arizona","94035","2971","63291","2903","30744","2688"
"1600000US0423620","Flagstaff city, Arizona","25609","1576","12108","1250","13501","1789"
"1600000US0427400","Gilbert town, Arizona","81235","2554","61517","2739","19718","2573"
"1600000US0427820","Glendale city, Arizona","81065","3085","47146","2818","33919","2435"
"1600000US0428380","Goodyear city, Arizona","26158","1654","19675","1889","6483","1339"
"1600000US0446000","Mesa city, Arizona","187111","4486","117871","4889","69240","3721"
"1600000US0454050","Peoria city, Arizona","66318","2428","49737","2578","16581","1987"
"1600000US0455000","Phoenix city, Arizona","586878","7653","319653","7133","267225","6523"
"1600000US0464210","San Tan Valley CDP, Arizona","30387","2265","24866","2010","5521","1762"
"1600000US0465000","Scottsdale city, Arizona","123791","3628","83222","3580","40569","3015"
"1600000US0471510","Surprise city, Arizona","49127","2284","38555","2456","10572","1682"
"1600000US0473000","Tempe city, Arizona","76669","2672","30789","2200","45880","2751"
"1600000US0477000","Tucson city, Arizona","217993","4317","107516","3922","110477","4497"
"1600000US0485540","Yuma city, Arizona","34971","2249","21189","2204","13782","1939"
"1600000US0515190","Conway city, Arkansas","26319","1523","11472","1323","14847","1553"
"1600000US0523290","Fayetteville city, Arkansas","36705","1807","13751","1687","22954","1984"
"1600000US0524550","Fort Smith city, Arkansas","36210","1790","17229","1810","18981","1850"
"1600000US0535710","Jonesboro city, Arkansas","29688","1606","15845","1613","13843","1798"
"1600000US0541000","Little Rock city, Arkansas","80063","3316","44754","3232","35309","2632"
"1600000US0550450","North Little Rock city, Arkansas","27903","2003","14940","1747","12963","1934"
"1600000US0560410","Rogers city, Arkansas","24297","1614","14421","1114","9876","1587"
"1600000US0566080","Springdale city, Arkansas","26443","1905","13620","1607","12823","1702"
"1600000US0600562","Alameda city, California","30788","1736","14267","1287","16521","1369"
"1600000US0600884","Alhambra city, California","28777","1370","12830","1427","15947","1471"
"1600000US0602000","Anaheim city, California","105301","3293","48570","3347","56731","3047"
"1600000US0602252","Antioch city, California","36138","2362","22917","2205","13221","2133"
"1600000US0602364","Apple Valley town, California","23774","1871","15414","2148","8360","1636"
"1600000US0602553","Arden-Arcade CDP, California","42309","2704","17167","1802","25142","2891"
"1600000US0603526","Bakersfield city, California","116558","3205","69256","3778","47302","3110"
"1600000US0603666","Baldwin Park city, California","19350","1139","11072","1164","8278","1150"
"1600000US0604982","Bellflower city, California","23369","1432","8697","1254","14672","1519"
"1600000US0606000","Berkeley city, California","44551","2418","18438","1521","26113","2062"
"1600000US0608786","Buena Park city, California","25362","1482","15614","1533","9748","1500"
"1600000US0608954","Burbank city, California","43167","2150","17529","1581","25638","2438"
"1600000US0610046","Camarillo city, California","27274","1488","17367","1450","9907","1414"
"1600000US0611194","Carlsbad city, California","44966","1995","29187","2153","15779","1754"
"1600000US0611390","Carmichael CDP, California","26577","2018","13802","1194","12775","1897"
"1600000US0611530","Carson city, California","25573","1402","17985","1556","7588","1512"
"1600000US0613014","Chico city, California","37040","1817","16899","1577","20141","1941"
"1600000US0613210","Chino city, California","26079","1651","16435","1492","9644","1512"
"1600000US0613214","Chino Hills city, California","26856","1717","19951","1633","6905","1390"
"1600000US0613392","Chula Vista city, California","82916","3478","49726","3105","33190","3427"
"1600000US0613588","Citrus Heights city, California","36460","2138","21885","1666","14575","1979"
"1600000US0614218","Clovis city, California","39269","1601","27148","1867","12121","1446"
"1600000US0615044","Compton city, California","21757","1315","13586","1087","8171","1201"
"1600000US0616000","Concord city, California","45071","2116","26280","2003","18791","2018"
"1600000US0616350","Corona city, California","47793","1867","29340","2134","18453","2049"
"1600000US0616532","Costa Mesa city, California","38762","2098","14887","1700","23875","1634"
"1600000US0617918","Daly City city, California","31289","1653","18560","1801","12729","1651"
"1600000US0618100","Davis city, California","26367","1463","9860","1112","16507","1610"
"1600000US0619766","Downey city, California","32073","1668","14901","1546","17172","1650"
"1600000US0620802","East Los Angeles CDP, California","30676","2093","11569","1558","19107","1649"
"1600000US0621712","El Cajon city, California","32139","1856","13194","1562","18945","1742"
"1600000US0622020","Elk Grove city, California","57048","2082","43016","2441","14032","2001"
"1600000US0622230","El Monte city, California","31535","1653","11861","1422","19674","1563"
"1600000US0622804","Escondido city, California","51364","2546","25170","2063","26194","2357"
"1600000US0623182","Fairfield city, California","37310","1754","22125","1650","15185","1806"
"1600000US0624477","Florence-Graham CDP, California","14973","1377","5973","1015","9000","1106"
"1600000US0624638","Folsom city, California","27286","1383","18471","1478","8815","1612"
"1600000US0624680","Fontana city, California","56457","2175","37375","2153","19082","2327"
"1600000US0626000","Fremont city, California","77848","1935","45886","2231","31962","2241"
"1600000US0627000","Fresno city, California","172815","3237","79995","4286","92820","4074"
"1600000US0628000","Fullerton city, California","44365","2177","23118","2263","21247","1893"
"1600000US0629000","Garden Grove city, California","47378","2207","25679","2219","21699","2008"
"1600000US0630000","Glendale city, California","74197","2614","24018","2013","50179","2590"
"1600000US0632548","Hawthorne city, California","27489","1801","7898","1080","19591","1678"
"1600000US0633000","Hayward city, California","47826","1949","25766","1937","22060","1781"
"1600000US0633182","Hemet city, California","28412","2040","17791","1843","10621","1584"
"1600000US0633434","Hesperia city, California","27185","1550","15476","1588","11709","1730"
"1600000US0636000","Huntington Beach city, California","75273","2717","41255","2725","34018","2331"
"1600000US0636448","Indio city, California","31760","2298","24854","2285","6906","1460"
"1600000US0636546","Inglewood city, California","34440","2141","11705","1490","22735","1824"
"1600000US0636770","Irvine city, California","104524","3414","45526","3331","58998","3993"
"1600000US0637692","Jurupa Valley city, California","24548","1555","15285","1445","9263","1250"
"1600000US0639248","Laguna Niguel city, California","24719","1923","17012","2089","7707","1107"
"1600000US0639486","Lake Elsinore city, California","18642","1573","13527","1504","5115","1289"
