GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
"1600000US0633434","Hesperia city, California","27703","1785","17508","1659","10195","1447"
"1600000US0636000","Huntington Beach city, California","76622","2364","43446","2070","33176","2302"
"1600000US0636448","Indio city, California","40637","2279","30034","1990","10603","1906"
"1600000US0636546","Inglewood city, California","35518","1759","12383","1316","23135","1554"
"1600000US0636770","Irvine city, California","100150","2775","46025","3101","54125","3585"
"1600000US0637692","Jurupa Valley city, California","23872","1512","16767","1478","7105","1208"
"1600000US0639248","Laguna Niguel city, California","25471","1166","16276","1428","9195","1228"
"1600000US0639486","Lake Elsinore city, California","17996","1160","12494","1338","5502","1038"
"1600000US0639496","Lake Forest city, California","30760","1487","21906","1778","8854","1428"
"1600000US0639892","Lakewood city, California","25993","1480","18312","1494","7681","1365"
"1600000US0640130","Lancaster city, California","46309","1918","25026","2396","21283","1958"
"1600000US0641992","Livermore city, California","30587","1643","21988","1947","8599","1096"
"1600000US0642202","Lodi city, California","23951","1729","12041","1638","11910","1423"
"1600000US0643000","Long Beach city, California","173432","4300","70749","3493","102683","4156"
"1600000US0644000","Los Angeles city, California","1382293","10951","501962","7018","880331","10249"
"1600000US0644574","Lynwood city, California","15979","1237","7161","1018","8818","1237"
"1600000US0645022","Madera city, California","18028","1303","8856","1509","9172","1420"
"1600000US0645484","Manteca city, California","27051","1433","16333","1531","10718","1212"
"1600000US0646842","Menifee city, California","28647","1839","22590","1569","6057","1211"
"1600000US0646898","Merced city, California","26075","1611","11333","1363","14742","1389"
"1600000US0647766","Milpitas city, California","23161","1255","14273","1382","8888","1201"
"1600000US0648256","Mission Viejo city, California","33011","1493","26139","1600","6872","1230"
"1600000US0648354","Modesto city, California","70756","2235","39615","2467","31141","2273"
"1600000US0649270","Moreno Valley city, California","47952","2046","28985","1868","18967","1656"
"1600000US0649670","Mountain View city, California","33400","1364","13925","1280","19475","1446"
"1600000US0650076","Murrieta city, California","32391","1615","21419","1582","10972","1637"
"1600000US0650258","Napa city, California","28245","1189","16568","1237","11677","1132"
"1600000US0651182","Newport Beach city, California","38302","1806","19617","1422","18685","1804"
"1600000US0652526","Norwalk city, California","26842","1690","17502","1514","9340","1214"
"1600000US0653000","Oakland city, California","165590","3374","68336","2792","97254","3705"
"1600000US0653322","Oceanside city, California","60537","2661","34728","2623","25809","2095"
"1600000US0653896","Ontario city, California","50569","1953","27780","1868","22789","1939"
"1600000US0653980","Orange city, California","42927","1708","25984","1863","16943","1658"
"1600000US0654652","Oxnard city, California","51883","2289","27465","1823","24418","1996"
"1600000US0655156","Palmdale city, California","45320","1998","30558","2186","14762","1439"
"1600000US0655282","Palo Alto city, California","26518","1283","14024","1350","12494","1256"
"1600000US0656000","Pasadena city, California","53901","2440","22782","1615","31119","1969"
"1600000US0656700","Perris city, California","17206","1113","11250","1191","5956","1313"
"1600000US0657456","Pittsburg city, California","20823","1354","11468","1277","9355","1417"
"1600000US0657792","Pleasanton city, California","27955","1281","20283","1508","7672","973"
"1600000US0658072","Pomona city, California","39422","1766","19559","1518","19863","1711"
"1600000US0659444","Rancho Cordova city, California","27879","1433","17404","1565","10475","1190"
"1600000US0659451","Rancho Cucamonga city, California","56354","3203","33144","2512","23210","2383"
"1600000US0659920","Redding city, California","35476","1431","19298","1680","16178","1705"
"1600000US0659962","Redlands city, California","25917","1592","16172","1743","9745","1529"
"1600000US0660018","Redondo Beach city, California","26720","1476","13643","1173","13077","1546"
"1600000US0660102","Redwood City city, California","29498","1900","14374","1669","15124","1338"
"1600000US0660466","Rialto city, California","25485","1424","16505","1440","8980","1076"
"1600000US0660620","Richmond city, California","36057","2291","18776","1760","17281","1792"
"1600000US0662000","Riverside city, California","87341","2965","48020","2680","39321","3068"
"1600000US0662364","Rocklin city, California","21206","1408","13899","1241","7307","1093"
"1600000US0662938","Roseville city, California","51727","1500","32948","1775","18779","1747"
"1600000US0664000","Sacramento city, California","182677","3860","89678","4030","92999","4074"
"1600000US0664224","Salinas city, California","39881","1875","17301","1782","22580","1950"
"1600000US0665000","San Bernardino city, California","58972","2588","27494","1892","31478","2297"
"1600000US0665042","San Buenaventura (Ventura) city, California","42744","2725","22551","2149","20193","2044"
"1600000US0665084","San Clemente city, California","23213","1418","15618","1595","7595","1252"
"1600000US0666000","San Diego city, California","513698","6704","240650","5785","273048","6017"
"1600000US0667000","San Francisco city, California","362827","5010","136242","4672","226585","5767"
"1600000US0668000","San Jose city, California","327848","4136","181143","4864","146705","5315"
"1600000US0668084","San Leandro city, California","30749","1698","17597","1769","13152","1541"
"1600000US0668196","San Marcos city, California","30118","2234","17809","2001","12309","1597"
"1600000US0668252","San Mateo city, California","38951","1626","21443","1571","17508","1467"
"1600000US0668378","San Ramon city, California","26474","1163","20322","1327","6152","1102"
"1600000US0669000","Santa Ana city, California","78786","2383","35331","2108","43455","2470"
"1600000US0669070","Santa Barbara city, California","35647","1738","15072","1598","20575","1673"
"1600000US0669084","Santa Clara city, California","45173","2282","18356","1537","26817","2058"
"1600000US0669088","Santa Clarita city, California","67509","2561","47518","2579","19991","1667"
"1600000US0669112","Santa Cruz city, California","21707","1564","10286","1347","11421","1401"
"1600000US0669196","Santa Maria city, California","26336","1468","12902","1308","13434","1304"
"1600000US0670000","Santa Monica city, California","44495","2154","12240","1417","32255","2029"
"1600000US0670098","Santa Rosa city, California","65587","2409","34051","2461","31536","2529"
"1600000US0672016","Simi Valley city, California","43069","1466","31701","1855","11368","1470"
"1600000US0673080","South Gate city, California","23691","1077","10268","976","13423","1283"
"1600000US0673262","South San Francisco city, California","20774","1441","13040","1398","7734","1256"
"1600000US0673430","South Whittier CDP, California","15783","1286","10966","1239","4817","916"
"1600000US0675000","Stockton city, California","95557","2477","42124","2508","53433","2739"
"1600000US0677000","Sunnyvale city, California","56537","2260","27061","1936","29476","2259"
"1600000US0678120","Temecula city, California","32859","1631","22997","1901","9862","1449"
"1600000US0678582","Thousand Oaks city, California","44092","2220","30476","2125","13616","1445"
"1600000US0680000","Torrance city, California","54991","2111","30953","1909","24038","2069"
"1600000US0680238","Tracy city, California","25793","1411","17137","1546","8656","1480"
"1600000US0680812","Turlock city, California","24140","1494","11415","1589","12725","1536"
"1600000US0680854","Tustin city, California","24407","2505","11360","2042","13047","1463"
"1600000US0681204","Union City city, California","19990","1021","12574","1247","7416","1012"
"1600000US0681344","Upland city, California","26244","1329","14442","1397","11802","1323"
"1600000US0681554","Vacaville city, California","32503","1538","21037","1641","11466","1334"
"1600000US0681666","Vallejo city, California","41730","1790","24313","1783","17417","1701"
"1600000US0682590","Victorville city, California","31624","2331","18249","2653","13375","2139"
"1600000US0682954","Visalia city, California","42729","2126","25665","2496","17064","2251"
"1600000US0682996","Vista city, California","30581","1386","15803","1603","14778","1336"
"1600000US0683346","Walnut Creek city, California","31675","1547","21472","1586","10203","1305"
"1600000US0684200","West Covina city, California","30333","1437","19525","1426","10808","1143"
"1600000US0684550","Westminster city, California","27019","1824","13305","1559","13714","1650"
"1600000US0685292","Whittier city, California","27672","1443","14594","1386","13078","1571"
"1600000US0686832","Yorba Linda city, California","23217","1062","19515","1158","3702","1024"
"1600000US0686972","Yuba City city, California","22524","1124","12864","1144","9660","1209"
"1600000US0803455","Arvada city, Colorado","50322","2203","36650","2056","13672","1846"
"1600000US0804000","Aurora city, Colorado","133217","3047","79535","3175","53682","3027"
"1600000US0807850","Boulder city, Colorado","43328","1758","20915","1728","22413","1841"
"1600000US0809280","Broomfield city, Colorado","28530","450","18496","918","10034","975"
"1600000US0812815","Centennial city, Colorado","38549","1587","32391","1549","6158","1063"
"1600000US0816000","Colorado Springs city, Colorado","181745","2968","110081","3695","71664","3645"
"1600000US0820000","Denver city, Colorado","310324","3035","152878","4452","157446","4483"
"1600000US0827425","Fort Collins city, Colorado","65688","2490","33096","1916","32592","2309"
"1600000US0832155","Greeley city, Colorado","37835","1649","23218","1777","14617","1576"
"1600000US0836410","Highlands Ranch CDP, Colorado","38394","1606","30494","1602","7900","1097"
"1600000US0843000","Lakewood city, Colorado","65918","2396","38045","2477","27873","2303"
"1600000US0845970","Longmont city, Colorado","37327","1624","23524","1563","13803","1627"
"1600000US0846465","Loveland city, Colorado","30853","1377","19021","1596","11832","1557"
"1600000US0862000","Pueblo city, Colorado","45374","1509","25804","1939","19570","1680"
"1600000US0877290","Thornton city, Colorado","46374","1827","33191","2110","13183","1657"
"1600000US0883835","Westminster city, Colorado","46002","1795","28182","1827","17820","1783"
"1600000US0908000","Bridgeport city, Connecticut","51014","2305","19329","1880","31685","2174"
"1600000US0918430","Danbury city, Connecticut","28748","1726","14959","1598","13789","1509"
"1600000US0937000","Hartford city, Connecticut","46072","2266","10742","1546","35330","1956"
"1600000US0950370","New Britain city, Connecticut","27440","1552","11489","1267","15951","1516"
"1600000US0952000","New Haven city, Connecticut","50312","2669","13470","1649","36842","2323"
"1600000US0955990","Norwalk city, Connecticut","35333","1803","20960","1801","14373","1381"
"1600000US0973000","Stamford city, Connecticut","50847","2160","23678","1891","27169","2472"
"1600000US0980000","Waterbury city, Connecticut","42894","2174","17275","1744","25619","2461"
"1600000US1077580","Wilmington city, Delaware","29609","1965","12674","1385","16935","1537"
"1600000US1150000","Washington city, District of Columbia","287476","2752","121540","3817","165936","4411"
"1600000US1200410","Alafaya CDP, Florida","29235","3433","19158","2999","10077","2264"
"1600000US1207300","Boca Raton city, Florida","41943","2448","31939","2396","10004","1512"
"1600000US1207875","Boynton Beach city, Florida","29184","2106","17790","1599","11394","1553"
"1600000US1208150","Brandon CDP, Florida","45178","2448","23744","1909","21434","2184"
"1600000US1210275","Cape Coral city, Florida","69803","3322","53585","3776","16218","2369"
"1600000US1212875","Clearwater city, Florida","48704","2671","27580","2297","21124","2198"
"1600000US1214400","Coral Springs city, Florida","42371","2219","25131","2389","17240","2090"
"1600000US1216475","Davie town, Florida","35841","1878","23414","1882","12427","1392"
"1600000US1216525","Daytona Beach city, Florida","28467","1969","13743","1487","14724","2079"
"1600000US1216725","Deerfield Beach city, Florida","33801","2368","20202","2030","13599","1598"
"1600000US1217100","Delray Beach city, Florida","28772","2135","18257","1783","10515","1563"
"1600000US1217200","Deltona city, Florida","29694","1697","23528","2130","6166","1409"
"1600000US1224000","Fort Lauderdale city, Florida","75144","3654","41878","3115","33266","2841"
"1600000US1224125","Fort Myers city, Florida","30937","2197","15184","1503","15753","1853"
"1600000US1225175","Gainesville city, Florida","45354","2918","18707","2119","26647","2464"
"1600000US1230000","Hialeah city, Florida","72672","2865","34405","2309","38267","2514"
"1600000US1232000","Hollywood city, Florida","56930","2449","31360","2313","25570","2435"
"1600000US1232275","Homestead city, Florida","18811","1285","7684","1473","11127","1349"
"1600000US1235000","Jacksonville city, Florida","345865","4659","187001","5992","158864","6319"
"1600000US1235875","Jupiter town, Florida","25560","1742","19663","1845","5897","1113"
"1600000US1236100","Kendall CDP, Florida","26705","2304","17414","1877","9291","1404"
"1600000US1236950","Kissimmee city, Florida","21606","2322","9946","1769","11660","1670"
"1600000US1238250","Lakeland city, Florida","41884","2197","22435","2162","19449","1885"
"1600000US1239425","Largo city, Florida","36611","2110","21835","2267","14776","1656"
"1600000US1239550","Lauderhill city, Florida","22398","2456","10319","1599","12079","1863"
"1600000US1239925","Lehigh Acres CDP, Florida","36649","2300","24420","2465","12229","1837"
"1600000US1243975","Melbourne city, Florida","30349","2340","16980","1685","13369","2028"
"1600000US1245000","Miami city, Florida","182631","4578","55905","3474","126726","4646"
"1600000US1245025","Miami Beach city, Florida","45523","2509","15684","1916","29839","1935"
"1600000US1245060","Miami Gardens city, Florida","30797","1918","19499","2396","11298","1504"
"1600000US1245975","Miramar city, Florida","38080","2250","26662","2545","11418","2128"
"1600000US1249675","North Port city, Florida","25687","1901","18944","2242","6743","1535"
"1600000US1253000","Orlando city, Florida","114176","4361","41860","3195","72316","3914"
"1600000US1254000","Palm Bay city, Florida","39676","2721","32042","2779","7634","1495"
"1600000US1254200","Palm Coast city, Florida","30752","1928","23231","1684","7521","1456"
"1600000US1254350","Palm Harbor CDP, Florida","27650","1959","20345","1599","7305","1437"
"1600000US1255775","Pembroke Pines city, Florida","56934","3127","40807","3367","16127","2697"
"1600000US1256825","Pine Hills CDP, Florida","24199","2080","12309","1890","11890","1803"
"1600000US1257425","Plantation city, Florida","33472","2165","22779","1871","10693","1710"
"1600000US1257900","Poinciana CDP, Florida","18808","2429","14479","2395","4329","1472"
"1600000US1258050","Pompano Beach city, Florida","41116","2500","21953","2195","19163","1593"
"1600000US1258350","Port Charlotte CDP, Florida","23733","1952","19256","1672","4477","1013"
"1600000US1258715","Port St. Lucie city, Florida","68178","3022","53071","3689","15107","2977"
"1600000US1260950","Riverview CDP, Florida","32076","2219","23093","1843","8983","1917"
"1600000US1263000","St. Petersburg city, Florida","105616","3186","63073","2805","42543","2797"
"1600000US1268350","Spring Hill CDP, Florida","43819","2406","32138","1992","11681","1799"
"1600000US1269700","Sunrise city, Florida","35105","2830","24387","2467","10718","1787"
"1600000US1270600","Tallahassee city, Florida","75260","2614","30329","2275","44931","2783"
"1600000US1270675","Tamarac city, Florida","27707","1790","20466","2040","7241","1465"
"1600000US1271000","Tampa city, Florida","154047","3606","74390","3219","79657","3070"
"1600000US1271569","The Hammocks CDP, Florida","19297","1660","12275","1344","7022","1322"
"1600000US1271625","The Villages CDP, Florida","47517","2341","45251","2238","2266","1401"
"1600000US1272145","Town 'n' Country CDP, Florida","30206","2705","16514","1619","13692","2049"
"1600000US1275812","Wellington village, Florida","20487","1313","16434","1412","4053","913"
"1600000US1275875","Wesley Chapel CDP, Florida","20733","1542","15309","1412","5424","1213"
"1600000US1276582","Weston city, Florida","20315","1166","14632","1706","5683","1460"
"1600000US1276600","West Palm Beach city, Florida","41161","2913","21042","1964","20119","2025"
"1600000US1301052","Albany city, Georgia","27077","1802","10137","1198","16940","1837"
"1600000US1301696","Alpharetta city, Georgia","24595","1359","17036","1259","7559","1256"
"1600000US1303440","Athens-Clarke County unified government (balance), Georgia","49119","1467","21659","1416","27460","1978"
"1600000US1304000","Atlanta city, Georgia","211819","5020","96030","4429","115789","4724"
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","68803","2621","34834","2484","33969","2619"
"1600000US1319000","Columbus city, Georgia","72862","2063","34996","2154","37866","2408"
"1600000US1342425","Johns Creek city, Georgia","26971","1660","20541","1955","6430","1319"
"1600000US1349008","Macon-Bibb County, Georgia","57905","1802","29267","1634","28638","2178"
"1600000US1367284","Roswell city, Georgia","35856","2019","25071","2034","10785","1712"
"1600000US1368516","Sandy Springs city, Georgia","47746","2502","23958","1963","23788","2410"
"1600000US1369000","Savannah city, Georgia","51118","2943","23622","2008","27496","2183"
"1600000US1372122","South Fulton city, Georgia","33793","2330","24148","2729","9645","2258"
"1600000US1380508","Warner Robins city, Georgia","29566","2051","14788","1830","14778","2244"
"1600000US1571550","Urban Honolulu CDP, Hawaii","125103","2616","55557","2592","69546","3090"
"1600000US1608830","Boise City city, Idaho","97101","2713","60045","2729","37056","2835"
"1600000US1652120","Meridian city, Idaho","35855","2289","26649","2246","9206","2265"
"1600000US1656260","Nampa city, Idaho","34289","1623","24395","1812","9894","1429"
"1600000US1702154","Arlington Heights village, Illinois","32918","1620","23035","1419","9883","1367"
"1600000US1703012","Aurora city, Illinois","65784","2752","42145","2801","23639","1996"
"1600000US1706613","Bloomington city, Illinois","31450","1423","19601","1490","11849","1559"
"1600000US1707133","Bolingbrook village, Illinois","23310","1472","17959","1374","5351","847"
"1600000US1712385","Champaign city, Illinois","34532","1787","15643","1416","18889","1796"
"1600000US1714000","Chicago city, Illinois","1077886","10443","492641","7480","585245","9974"
"1600000US1714351","Cicero town, Illinois","22294","1520","11626","1084","10668","1608"
"1600000US1718823","Decatur city, Illinois","31132","1672","18712","1462","12420","1597"
"1600000US1723074","Elgin city, Illinois","38244","2330","25814","2074","12430","1651"
